OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,YearRemodAdd,1stFlrSF,TotRmsAbvGrd,Fireplaces,Price
7,1710,2,856,2,2003,2003,856,8,0,208500
6,1262,2,1262,2,1976,1976,1262,6,1,181500
7,1786,2,920,2,2001,2002,920,6,1,223500
7,1717,3,756,1,1915,1970,961,7,1,140000
8,2198,3,1145,2,2000,2000,1145,9,1,250000
5,1362,2,796,1,1993,1995,796,5,0,143000
8,1694,2,1686,2,2004,2005,1694,7,1,307000
7,2090,2,1107,2,1973,1973,1107,7,2,200000
7,1774,2,952,2,1931,1950,1022,8,2,129900
5,1077,1,991,1,1939,1950,1077,5,2,118000
5,1040,1,1040,1,1965,1965,1040,5,0,129500
9,2324,3,1175,3,2005,2006,1182,11,2,345000
5,912,1,912,1,1962,1962,912,4,0,144000
7,1494,3,1494,2,2006,2007,1494,7,1,279500
6,1253,1,1253,1,1960,1960,1253,5,1,157000
7,854,2,832,1,1929,2001,854,5,0,132000
6,1004,2,1004,1,1970,1970,1004,5,1,149000
4,1296,2,0,2,1967,1967,1296,6,0,90000
5,1114,2,1114,1,2004,2004,1114,6,0,159000
5,1339,1,1029,1,1958,1965,1339,6,0,139000
8,2376,3,1158,3,2005,2006,1158,9,1,325300
7,1108,1,637,1,1930,1950,1108,6,1,139400
8,1795,2,1777,2,2002,2002,1795,7,1,230000
5,1060,2,1040,1,1976,1976,1060,6,1,129900
5,1060,1,1060,1,1968,2001,1060,6,1,154000
8,1600,3,1566,2,2007,2007,1600,7,1,256300
5,900,2,900,1,1951,2000,900,5,0,134800
8,1704,3,1704,2,2007,2008,1704,7,1,306000
5,1600,1,1484,1,1957,1997,1600,6,2,207500
4,520,1,520,1,1927,1950,520,4,0,68500
4,1317,1,649,1,1920,1950,649,6,0,40000
5,1228,1,1228,1,1966,2006,1228,6,0,149350
8,1234,2,1234,2,2007,2007,1234,7,0,179900
5,1700,2,1398,1,1959,1959,1700,6,1,165500
9,1561,2,1561,2,2005,2005,1561,6,1,277500
8,2452,3,1117,3,2004,2005,1132,9,1,309000
5,1097,2,1097,1,1994,1995,1097,6,0,145000
5,1297,2,1297,1,1954,1990,1297,5,1,153000
5,1057,1,1057,1,1953,2007,1057,5,0,109000
4,1152,0,0,2,1955,1955,1152,6,0,82000
6,1324,2,1088,2,1965,1965,1324,6,1,160000
5,1328,1,1350,1,1959,1959,1328,5,2,170000
5,884,2,840,1,1983,1983,884,5,0,144000
5,938,1,938,1,1975,1980,938,5,0,130250
5,1150,1,1150,1,1959,1959,1150,6,0,141000
9,1752,2,1752,2,2005,2005,1752,6,1,319900
7,2149,2,1434,1,2003,2003,1518,6,1,239686
8,1656,3,1656,2,2006,2006,1656,7,0,249700
4,1452,0,736,2,1920,2008,736,8,0,113000
5,955,1,955,1,1966,1966,955,6,0,127000
6,1470,2,794,2,1997,1997,794,6,0,177000
6,1176,2,816,1,1934,1950,816,6,1,114500
